,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,7.82525403023231e-07,1.1568893944934754e-06,1.1241420950020887e-06,1.2922140212591432e-06,1.0193847173584252e-06,9.236115906330947e-07,1.4920741630232717e-06,1.1706745095017337e-06,1.6400071802420178e-06,1.009654730577128e-06,1.0571019057204717e-06,1.898185153798191e-06,9.345520009957436e-07,1.2616092198696466e-06,1.664611542056809e-06,1.3389569793121832e-06
1,9.98726943268658e-07,1.3206024712622618e-06,1.2764385393448029e-06,1.6505838080942026e-06,1.2718073045712812e-06,1.1262782880526231e-06,1.5019344432852772e-06,1.191335094551399e-06,1.8398983311456477e-06,1.2261369323938997e-06,1.2693150838306643e-06,1.5094468871722842e-06,1.1162405769670304e-06,1.375065182029822e-06,1.6561074438082534e-06,1.5471404681720248e-06
2,1.0079472930991558e-06,1.2312148641130028e-06,1.3906721307348627e-06,1.5761136092732608e-06,1.2339840830443415e-06,1.2384317247905743e-06,1.4949525907778908e-06,1.3573338737253358e-06,1.9146410602351386e-06,1.3488280791968183e-06,1.5299412338541672e-06,1.513584860743355e-06,1.215130256491815e-06,1.4200066057210985e-06,1.7397703271686278e-06,1.5786926302870137e-06
3,1.043021921693036e-06,1.0254347687558681e-06,1.2564450663200924e-06,1.3432785439842937e-06,1.2132225808465407e-06,1.3352915181307322e-06,1.4349264109234877e-06,1.5595886513121989e-06,2.1568683247738585e-06,1.1428047840214677e-06,1.5321173762079788e-06,1.437065027382119e-06,1.1423928232332822e-06,1.4786792759200468e-06,1.8194855418089993e-06,1.4697092020818026e-06
4,1.0858515952609136e-06,1.164728674847176e-06,1.3635394822338084e-06,1.4181333321523256e-06,1.3033597830021769e-06,1.4483685351456156e-06,1.4476974707854721e-06,1.5616708652134668e-06,2.2482906701692075e-06,1.1603367019282077e-06,1.4434043424178391e-06,1.7375031748710124e-06,1.217719825575523e-06,1.354212800921038e-06,2.184936244659864e-06,1.3252233232577342e-06
5,9.586329834177322e-07,1.2102647243739452e-06,1.357090575840117e-06,1.4474709465517562e-06,1.2671780166728125e-06,1.5012710328415042e-06,1.5409774272096772e-06,1.4698390909602844e-06,2.1608301687127506e-06,1.222806798089321e-06,1.2386958701848325e-06,2.157877771888763e-06,1.2305194600205202e-06,1.1690309121033834e-06,2.4343764326383143e-06,1.645583203034777e-06
6,1.0044461802213893e-06,1.2319028464746522e-06,1.3175897011778406e-06,1.5562429865237708e-06,1.333477102064832e-06,1.3348883679904462e-06,1.4287058438130096e-06,1.4690103975146455e-06,2.0693728402408134e-06,1.3039239521171743e-06,1.2177219269325747e-06,1.9352902411673246e-06,1.125663969959546e-06,1.3559432095329946e-06,1.9056266046276202e-06,1.698493285847694e-06
7,1.0895459722682939e-06,1.3253824956092166e-06,1.4130731687343915e-06,1.6959328053555946e-06,1.2679367729970257e-06,1.2660163257350188e-06,1.2943721440697348e-06,1.5493641400730762e-06,1.960274441782077e-06,1.3494318264359712e-06,1.355368375330093e-06,1.6905690550535147e-06,1.1793413518138397e-06,1.3112041837969835e-06,1.6422905117814331e-06,1.4276825383085899e-06
8,1.083976313343769e-06,1.0547661212564042e-06,1.3455147472746838e-06,1.5839528316424619e-06,1.217524504179314e-06,1.1277992032286057e-06,1.4209614232629338e-06,1.603448587436929e-06,1.911042252831268e-06,1.2877979823640559e-06,1.3289054324718356e-06,1.6259616297475837e-06,1.2657660980105389e-06,1.1498711148907704e-06,1.7585835127631975e-06,1.3350089002822494e-06
9,1.1692886596913216e-06,1.0897131598949158e-06,1.261359222639257e-06,1.3022838542153762e-06,1.2201820821581902e-06,1.116105459688298e-06,1.530871856619477e-06,1.7888283109055093e-06,1.833530707017852e-06,1.276255484018569e-06,1.3162339577341718e-06,1.7961139711701609e-06,1.369730795143118e-06,1.4081479015642524e-06,1.6911254893538093e-06,1.4432403951362858e-06
10,9.945487846074223e-07,1.0945740884742439e-06,1.2502190796429503e-06,1.1511093575138437e-06,1.3314655267034123e-06,1.152884887838869e-06,1.3545643338907706e-06,1.746565523747003e-06,1.6633051116115758e-06,1.2701777174555376e-06,1.1694007066360336e-06,1.833260172473701e-06,1.3373361933087746e-06,1.399678255372925e-06,1.6932157848347516e-06,1.4951736639937975e-06
11,8.256244480267896e-07,1.2138068485224656e-06,1.331249766954292e-06,1.5127354076090583e-06,1.3518863747023407e-06,1.0816470597376982e-06,1.4833356356564023e-06,1.5275770391552938e-06,1.6632700022733713e-06,1.275165558192433e-06,1.1270921984071377e-06,1.7270397552792094e-06,1.1449561847131049e-06,1.211833262415543e-06,1.6598802872629778e-06,1.506576585244898e-06
12,1.0164672478409862e-06,1.3782489734499027e-06,1.2404262991158443e-06,1.656204129823878e-06,1.1906031722730751e-06,1.0845148932260304e-06,1.5619042161423056e-06,1.3020113990604277e-06,1.9797510326616343e-06,1.1896752571194714e-06,1.307247551114198e-06,1.5729927146880727e-06,1.0728605696768885e-06,1.137148074054483e-06,1.4991119385466485e-06,1.6392560402047013e-06
13,1.0580777299784813e-06,1.0645825709713181e-06,1.3198899091380325e-06,1.2638397004978037e-06,1.2533701926448824e-06,1.023964574809414e-06,1.2774842731530507e-06,1.3074351619969766e-06,2.1457157184957295e-06,1.1160787809391178e-06,1.2799022367237592e-06,1.317288360435417e-06,1.0465556392639058e-06,1.2447010711849413e-06,1.5175111610665633e-06,1.5059532400622735e-06
14,1.0413985630777016e-06,1.0367792716723716e-06,1.662354950662405e-06,1.2514255701738937e-06,1.2497301706460016e-06,1.2396812124476876e-06,1.2370042389257897e-06,1.3121147797739044e-06,1.9272546799827215e-06,1.3889228806092153e-06,1.1151632215152597e-06,1.4561842952602062e-06,1.144401901040729e-06,1.138939447191897e-06,1.4896388331351113e-06,1.3094685904859677e-06
15,1.151583022232875e-06,1.1945674634709056e-06,1.50499471923801e-06,1.25126996425679e-06,1.2343976148144813e-06,1.3491779488169897e-06,1.3027370958082905e-06,1.2635036259953645e-06,1.783840481363293e-06,1.5281825659323995e-06,1.0837174146046519e-06,1.6844464035226803e-06,1.221671408566629e-06,1.189222021531038e-06,1.4849656995459963e-06,1.5955098159605976e-06
16,1.1382377776254742e-06,1.258932884739142e-06,1.1067630914880125e-06,1.2882354320413344e-06,1.2036004377961053e-06,1.1698151195343064e-06,1.6167090008024345e-06,1.2705405637721758e-06,1.7692136212956589e-06,1.4343848379757764e-06,1.2244092902862674e-06,1.8732630923837674e-06,1.2871931075622884e-06,1.3824810290661452e-06,1.5463966792830615e-06,1.8722190184869252e-06
17,1.0225440518794154e-06,1.2489447416287574e-06,1.1146692560074405e-06,1.3721681389768698e-06,1.1495005791691845e-06,1.20702699732219e-06,1.5564480806204677e-06,1.2770319923768666e-06,1.8789951051693607e-06,1.489294459811157e-06,1.3708997963248615e-06,1.960855943115056e-06,1.398823539600961e-06,1.3888046227278459e-06,1.6566687501806506e-06,1.7715678322861755e-06
18,1.0385950411025941e-06,1.2391887833718797e-06,1.1988652686593839e-06,1.4234672018200369e-06,1.2271827556974134e-06,1.2663487398125322e-06,1.3034371203424663e-06,1.4053250690081094e-06,2.4932993451173687e-06,1.4392257006350072e-06,1.4046118635583732e-06,1.8951514429907195e-06,1.3990864049107627e-06,1.4402749392067754e-06,1.9958138749867978e-06,1.8060959851879783e-06
19,9.949569165125316e-07,1.360141423818366e-06,1.1599504955099964e-06,1.380146259597208e-06,1.3077067351573753e-06,1.2816150979430735e-06,1.342182845597083e-06,1.2946156032997855e-06,2.4025273813874862e-06,1.3945104884573951e-06,1.3457071819345261e-06,1.942315787192358e-06,1.144784041543935e-06,1.477769070800728e-06,1.8155101078005102e-06,1.6398037902009223e-06
20,8.166455475185335e-07,1.312504360687076e-06,1.238747871525857e-06,1.3113493637125233e-06,1.277490072033255e-06,1.2118060545560309e-06,1.295144280011834e-06,1.4102851445081365e-06,2.1395101532807494e-06,1.5731214177528432e-06,1.2927993712027283e-06,1.9895796955392607e-06,9.971253873694347e-07,1.30139232028364e-06,1.5468088497258329e-06,1.5523106946540492e-06
21,8.345128607452457e-07,1.2320082170558488e-06,1.310453846392188e-06,1.4199494089231025e-06,1.1804223310222388e-06,1.2995120712394357e-06,1.6501717219769412e-06,1.4019474653329833e-06,2.1904266250761e-06,1.373510539142601e-06,1.2166277100857547e-06,1.8999314421419042e-06,1.1797699034940535e-06,1.2730443790219257e-06,1.5345266863862478e-06,1.6545841271860725e-06
22,9.475007439735147e-07,1.176161125919361e-06,1.201503657059908e-06,1.4870272365035734e-06,1.2175837893425687e-06,1.3717664172510193e-06,1.620392839536274e-06,1.553355924845673e-06,2.225519266317354e-06,1.1598430867527157e-06,1.231145494421973e-06,1.6449071779826173e-06,1.2377260587849752e-06,1.4047381859421772e-06,1.5951505291605805e-06,1.645710206591655e-06
23,1.1077615260086099e-06,1.0133908252812007e-06,1.1792886624074195e-06,1.596507063308298e-06,1.2213456206762715e-06,1.444234092816725e-06,1.387072633037015e-06,2.492136463823468e-06,2.1253256975123183e-06,1.2024852887736114e-06,1.3245846766100135e-06,1.5145090255319912e-06,1.2033281741011335e-06,1.3276755249361353e-06,1.9776449085847867e-06,1.5968147019470986e-06
24,1.2178851396583267e-06,1.0741189988754887e-06,1.2054058987783017e-06,1.5687212970424221e-06,1.2880035001961294e-06,1.383643142012168e-06,2.3591086497517726e-06,3.040222961015726e-06,2.0177084607159562e-06,1.2667790670864946e-06,1.301121507803721e-06,1.6233709543121997e-06,1.1719874587162892e-06,1.5455960937404243e-06,1.9124316564054837e-06,1.359673777434778e-06
25,1.2064163612826381e-06,1.2247359119212087e-06,1.4246058321219463e-06,6.842384789450805e-06,1.3298200302832815e-06,1.238225438866722e-06,4.124042182161951e-06,3.8432403485668e-06,2.170602472842291e-06,1.388219697678787e-06,1.4021166151588103e-06,1.6766657434710032e-06,1.2864816573886678e-06,1.5949306912966396e-06,1.8428753863213845e-06,1.5044827043975218e-06
26,1.129479924013876e-06,1.3663800598392832e-06,2.4138465111435542e-06,1.4908961870289649e-05,6.214988079669594e-06,1.3399784294845059e-06,4.960467621601853e-06,4.087907142088529e-06,2.4021331935426676e-06,4.348442486290701e-06,1.5256124774391825e-06,1.8051350037929464e-06,1.3232918023801664e-06,1.3657059613615954e-06,2.601599756185943e-06,1.8239389880464373e-06
27,1.062028749251405e-06,1.4450669812446446e-06,2.889556976165913e-06,2.0993010941110587e-05,1.1387807952633897e-05,1.177245299076668e-06,3.34264477598017e-06,3.4098949408695166e-06,2.6245541696585587e-06,1.0692247083979518e-05,1.511470462973508e-06,2.159192934375453e-06,1.2962064349510874e-06,1.9417963585640713e-06,2.617078688265521e-06,1.7968461900057136e-06
28,1.1007885355986432e-06,1.3089173026421577e-06,2.646154538405957e-06,1.7588918850434994e-05,6.541043910849048e-06,1.0028419187781696e-06,1.6037683991901445e-06,3.0471459555648693e-06,2.5525314251809246e-06,9.890856561144071e-06,1.4376572780845496e-06,2.170639447200631e-06,1.4259556354422894e-06,2.1473837133039485e-06,1.9087333018241563e-06,2.085061560770188e-06
29,1.1694512741106801e-06,1.260210173649471e-06,2.1668812540517964e-06,1.229643822899842e-05,2.1600968530255366e-06,1.0273149115591575e-06,1.46378273715113e-06,4.145133584363855e-06,2.643129417346871e-06,6.516388159010285e-06,1.327350543279959e-06,2.1781793015673096e-06,1.5950273564805115e-06,2.203050675965618e-06,1.643441379250809e-06,2.020560694493482e-06
30,3.550400116962803e-06,1.4008560991902172e-06,2.162007530526191e-06,1.6876198153124696e-05,5.147448090901311e-06,1.3161496161924082e-06,1.837109448533719e-06,4.2731235314490305e-06,2.467347425872536e-06,1.1403484795250569e-05,1.4926727031878767e-06,2.574625590742941e-06,1.943012457323744e-06,4.179471584308214e-06,2.3966716689797452e-06,2.273869050175267e-06
31,7.908625562847211e-06,1.5038663836348582e-06,4.316922714544787e-06,2.0762417000986163e-05,1.6182055876667265e-05,1.6997568160976028e-06,1.8291336381007394e-06,3.8099614006034666e-06,2.4283911450541088e-06,8.593968054837404e-06,1.7871281287876468e-06,2.7134255427676755e-06,1.8809605529831284e-06,3.6184213895425254e-06,2.9927730449476736e-06,2.6842277193240942e-06
32,8.241885029093317e-06,1.5159018006557142e-06,4.418841647789885e-06,1.663376244410327e-05,2.2743651450468272e-05,1.93192339876505e-06,1.5760419330763429e-06,5.2499045912938854e-06,2.968943003000844e-06,1.6804799660509842e-06,1.5614189739564896e-06,4.163436234380908e-06,1.9942105067307333e-06,1.5483567448019294e-06,2.2811540831635056e-06,2.4870603614719705e-06
33,5.5514804389784566e-06,1.4826490437023986e-06,2.1399243915080954e-06,1.5203977934373834e-05,1.3340530765389709e-05,1.916421566002346e-06,2.535335104677907e-06,5.36857545041863e-06,3.0443128164491283e-06,1.8238757987094743e-06,1.449890641590182e-06,3.884087749535915e-06,1.918492314247694e-06,1.4320946296692745e-06,1.8675892664624547e-06,2.235276240982203e-06
34,6.547519900946876e-06,1.446951893111833e-06,1.4403172823653975e-06,2.583426787420536e-05,5.275518981721629e-06,1.6216569494448567e-06,2.9361354181099395e-06,4.463331343352606e-06,2.8144106830470154e-06,1.9916282463981837e-06,1.5738899238345573e-06,2.0611304257954726e-06,1.6089206364083074e-06,1.3432199807501952e-06,2.0330580428907323e-06,1.7573430805966147e-06
35,7.087456207995378e-06,1.735472803558707e-06,4.036042198085711e-06,2.5791737976088836e-05,2.475910625135654e-05,1.93942232080346e-06,2.064193913705205e-06,5.971810644974227e-06,2.7942965423577956e-06,2.529563436411897e-06,1.4877178974275892e-06,1.8500396514300539e-06,3.1629225481400733e-06,1.8982483243308964e-06,2.060072529446523e-06,1.8995452317161154e-06
36,1.3827359455988824e-05,2.7351749579393733e-06,7.140380374839542e-06,2.6567329630454447e-05,3.4655417984795626e-05,2.3624935204096175e-06,1.9570415735616337e-06,5.061800683490175e-06,3.363616744713778e-06,2.3903127254153025e-06,1.3092127977916347e-06,2.2649218109542883e-06,3.7794239248702367e-06,2.647269026937699e-06,2.176048057498347e-06,1.9525423956950266e-06
37,1.623712806586934e-05,2.965414524432196e-06,6.293156668418408e-06,2.628566018164242e-05,2.149192637557369e-05,2.067711221537324e-06,2.135229334681917e-06,4.58267976346717e-06,3.7595410045385785e-06,2.1380617224206367e-06,1.2777043712537223e-06,2.5735986128306393e-06,3.3409367036212973e-06,2.509143832930203e-06,3.88732163377485e-06,1.8162815992198454e-06
38,6.313470346409208e-06,2.498118378062546e-06,4.448598170809794e-06,1.8438101249367037e-05,1.1126468123589476e-05,2.098661783324344e-06,2.0646658792952226e-06,8.306739312068117e-06,3.3520573861723118e-06,2.7226618647851207e-06,1.1938242870508762e-06,2.211439545696511e-06,3.001671737829893e-06,1.7672750368431756e-06,1.806329729971759e-05,1.8204393812263996e-06
39,2.6295915053108956e-06,2.4731000304784656e-06,3.843380031237178e-06,2.4066188465719847e-05,3.745618070662406e-06,1.9498372764068054e-06,1.8304329705687871e-06,1.5135802098273688e-05,3.046252466544909e-06,2.4351711279764413e-06,1.253924996459813e-06,1.8159850003114168e-06,1.802609688609624e-06,2.7310593606158226e-06,1.884917960595906e-05,1.6609738858714473e-06
40,2.542580213386093e-06,2.0155286318661977e-06,2.5856370373347142e-06,4.220553343777617e-05,2.881149999106183e-06,1.3383786803757162e-06,1.5171716094207531e-06,2.1402993050235653e-05,3.2267343014996416e-06,1.844499229916661e-06,1.3211055613013084e-06,1.4596250406022158e-06,1.4722280781604849e-06,2.0509732702294548e-05,5.21492340861933e-06,1.7154207815160066e-06
41,1.6737764115960116e-06,1.6839926932106786e-06,1.7093572098111818e-06,4.445283341324161e-05,2.112424632102501e-06,1.1549560204480744e-06,1.4635794740199793e-06,2.038291695761126e-05,3.033273747742025e-06,1.551136397926219e-06,1.1573274711621578e-06,1.7434174058920587e-06,1.3501116811998775e-06,2.1351026416492182e-05,2.0255021453020108e-05,1.6548174921430822e-06
42,1.9184688184821033e-06,2.0659149451698584e-06,2.575255647405641e-06,3.0738257566735026e-05,2.681589681338309e-06,1.2525828095767876e-06,1.6237756212581536e-06,1.6539018578634435e-05,2.815704680592654e-06,1.841694776187847e-06,1.140826581791376e-06,2.330413805848379e-06,1.2916493156389107e-06,3.4602698032162704e-06,2.6370090008242918e-05,1.5899337618644227e-06
43,2.3020545907732252e-06,2.2364563225984557e-06,5.888759186898151e-06,2.361397215546699e-05,3.703659508913764e-06,1.7178639318269803e-06,2.3203486069870267e-06,1.2147804080120818e-05,3.2847838537088934e-06,2.2714628645866908e-06,1.175658034024764e-06,2.234592117876517e-06,1.509143538747339e-06,1.1889304273019955e-06,8.693927805903315e-06,1.7109702443445868e-06
44,3.4932935562251164e-06,2.2251333951983635e-06,6.04885442861919e-06,1.3685898830260814e-05,4.698424305356795e-06,2.2913706908691972e-06,2.610403775769336e-06,5.740587152670625e-06,7.854044489966823e-06,2.3123843315783246e-06,1.2345886812861372e-06,2.382972196830169e-06,2.9925624768063413e-06,1.4164170240568042e-06,1.7466699471143533e-06,1.6428005052777967e-06
45,5.223384066329302e-06,2.219351412842351e-06,3.8524776587310276e-06,5.833566489160519e-06,6.206158139133006e-06,2.7409668863676636e-06,1.8379478887209333e-06,1.906146258646984e-06,7.976496213027526e-06,2.0551376565130765e-06,1.3150384138572937e-06,2.1925499802232806e-06,4.573463349302547e-06,1.5912705112152471e-06,1.7336801113650328e-06,1.6739721693964941e-06
46,4.383389770830195e-06,2.2938244908236934e-06,5.407165921477217e-06,5.7705537312045706e-06,5.000247228130165e-06,2.15735434255046e-06,1.4654779664144114e-06,4.267703572112552e-06,2.8763029992197427e-06,1.5429518797628647e-06,1.2012975845006811e-06,1.5984808728455088e-06,4.746763739803263e-06,1.4409270401870197e-06,1.7814012535137212e-06,1.5721887525793047e-06
47,2.5429202762047267e-06,2.2076664504108242e-06,7.492905957805069e-06,5.926456558178658e-06,4.4564810428245324e-06,1.4436139155804389e-06,1.5673765996030393e-06,5.018529347527438e-06,3.841433644837881e-06,1.6891621110044376e-06,1.2552303197802823e-06,1.8595750873028622e-06,3.4152069201185097e-06,1.2582437486053604e-06,1.8662630157911934e-06,1.5585903785377787e-06
48,1.998262287892132e-06,2.358419239377493e-06,8.141887119278702e-06,5.349830245436512e-06,5.466475526528041e-06,1.6427028489457294e-06,1.6809262990052517e-06,5.046131391726698e-06,5.313054054168556e-06,1.8068972741335943e-06,1.3229417000364384e-06,1.898457899572283e-06,2.1195210245423495e-06,1.1656175093780327e-06,1.8698845024261687e-06,1.6697422176328537e-06
49,1.6909238503837778e-06,2.3450097898712007e-06,6.219648965635792e-06,8.337439395952598e-06,3.63058247062708e-06,1.640231282630834e-06,1.6811720369220564e-06,4.802438664417835e-06,5.106144406298774e-06,1.9565098678947913e-06,1.1544926450442175e-06,1.5283231181175443e-06,1.8227860793561693e-06,1.3300791813414432e-06,1.9709221080964883e-06,1.7594707191575213e-06
50,1.3197313851605384e-06,2.3527148033933112e-06,5.020393567158531e-06,8.493750073019574e-06,6.7310848955377446e-06,1.4035065208775673e-06,2.149773620664964e-06,6.363462670059459e-06,5.331597061683132e-06,1.8774806584443522e-06,1.1548162424429482e-06,1.6895816016029908e-06,1.4453115575281386e-06,1.5547243328631718e-06,1.9220896057850323e-06,2.019234821779075e-06
51,1.7708908657981505e-06,2.4512890882137504e-06,5.841819169252973e-06,9.064445510040934e-06,9.467676197972449e-06,1.4123584137659196e-06,2.28107504494636e-06,2.0986718148943733e-05,5.799405221245218e-06,1.6585573113367377e-06,1.123558212813418e-06,1.782849037279461e-06,2.0721755367424494e-06,1.5671131411880095e-06,1.7642526244136088e-06,2.0121838465437075e-06
52,3.2787497853706215e-06,1.8336765880974375e-06,5.741812549059697e-06,1.0620187905485373e-05,8.644760757082037e-06,1.812083952023818e-06,2.0317618897023295e-06,3.04146254921508e-05,5.761497250585614e-06,2.0554437724928087e-06,1.3536676243716532e-06,1.5189339133460763e-06,4.6730346357581355e-06,1.794647610492943e-06,2.1169879866519147e-06,2.1640745058478752e-06
53,3.521641582013497e-06,1.8846252761564048e-06,4.987786866689744e-06,9.447265704559621e-06,7.995084946173202e-06,1.748939155053574e-06,1.712341539491403e-06,2.3677528870050866e-05,3.911724620612229e-06,1.9254352054221468e-06,1.3339936581969145e-06,1.7124140701398743e-06,4.52090935348236e-06,7.009743173120512e-06,2.2815478669965227e-06,2.5870309718021357e-06
54,4.25984410927536e-06,1.8018253189860749e-06,3.915747410651023e-06,7.728890110767438e-06,6.457707842575853e-06,1.6138039228757198e-06,1.3224315449431493e-06,2.4271727315250146e-05,2.3063878902300706e-06,1.8267582518645135e-06,1.0816678979959783e-06,2.294531508058015e-06,2.786547645227009e-06,9.841439607175247e-06,2.1747950261933762e-06,2.301669266905886e-06
55,7.739577224967204e-06,1.4370342180030531e-06,2.8414523197284278e-06,9.457297131908482e-06,6.858478037157145e-06,2.0542000396490284e-06,1.4302166574249755e-06,2.1720351486660695e-05,2.6240190002966276e-06,1.8406660782623104e-06,1.3418182992639103e-06,2.5264037959804673e-06,2.689473944321228e-06,1.1572406109166754e-05,2.2779984248820678e-06,1.8923267092749252e-06
56,1.0121454402182403e-05,1.2887639539082015e-06,2.0778863017609645e-06,1.0281320951705693e-05,6.5758554903137996e-06,1.9660202823883197e-06,1.8388273131245218e-06,1.9761338600436385e-05,2.69411193969398e-06,1.727553131504822e-06,1.4070521771230414e-06,2.2918211627331927e-06,3.0898994272873042e-06,1.4808849013948266e-05,1.9127582088054874e-06,1.832367140339366e-06
57,1.2091855751136763e-05,1.2165362653492684e-06,1.7503183750733321e-06,9.294558446426397e-06,4.60515323507353e-06,1.5868588745532312e-06,2.024955575214827e-06,2.173213297964546e-05,2.2816604224716393e-06,1.8313928079366232e-06,1.2749210681186404e-06,1.8743425367017815e-06,3.4500334661658665e-06,7.970206972476755e-06,2.040261021767058e-06,1.6740475104524386e-06
58,1.2038201694580834e-05,1.308175130575553e-06,1.7412887792927416e-06,1.3218935391724156e-05,5.15391696107674e-06,1.7690020371969502e-06,1.7096070278385282e-06,1.6509789341760866e-05,2.7615427508757965e-06,1.9734773450462384e-06,1.3526406237429022e-06,1.7113248389553265e-06,2.8253087474149152e-06,1.77969692120781e-06,2.3531389329376013e-06,1.7688660717033435e-06
59,7.663595268246685e-06,1.2552735426595643e-06,1.3711490129852162e-06,1.2847713108666244e-05,4.795417010578228e-06,1.8285724600615924e-06,3.5914603425862914e-06,1.4132296074151007e-05,2.890615571693427e-06,1.7784694503896618e-06,1.448084635154795e-06,1.7815341574044978e-06,2.366295988456358e-06,1.5718478380854585e-06,2.55112806953882e-06,1.5641964400888635e-06
60,4.657481495313871e-06,1.408561560047625e-06,1.708477286458956e-06,1.7383722203999308e-05,4.4678394913943625e-06,1.8836346540615803e-06,3.842029171426667e-06,1.2075251705695514e-05,2.1085271632189294e-06,3.956623173920684e-06,1.384702920521838e-06,1.7069594611666446e-06,2.2882900662317274e-06,1.3844884018081095e-06,2.9985685740160133e-06,1.567207083839898e-06
61,6.933215348478211e-06,1.483379293419755e-06,1.918961678169732e-06,2.4943692051633964e-05,5.71257878658891e-06,1.6503694661410182e-06,3.095453534835226e-06,1.2562363397638398e-05,2.080893639049731e-06,5.845398376401555e-06,1.1678042708289745e-06,1.960440864301263e-06,2.95318588242329e-06,1.3760765802612953e-06,2.706599900958258e-06,1.7419251993084916e-06
62,7.724837420964484e-06,1.180086333730371e-06,1.6198042420861975e-06,3.184287284343428e-05,5.825653117838745e-06,1.4282309348189065e-06,3.4899551343350347e-06,1.589223642022763e-05,2.79359073960401e-06,3.73599058444857e-06,1.2803119168020024e-06,2.2519637382781603e-06,3.934713869510151e-06,1.3361109164517707e-06,2.8588399750413398e-06,1.7233022604179498e-06
63,5.49913041876935e-06,1.263528475540096e-06,1.7008865058362927e-06,3.34983020529248e-05,5.073490311156856e-06,1.68488567857844e-06,2.549434643481258e-06,1.8867616434297166e-05,2.7124802975623306e-06,4.9820474726793655e-06,1.541213182693079e-06,2.1311195484434793e-06,4.278219089589458e-06,1.393248176759742e-06,3.307470319545975e-06,2.1922690244451205e-06
